num,length,response,context_length,name
1,17,2.5065587,0,0
2,18,1.88683,0,0
3,24,1.4587787,0,0
4,22,2.8860033,0,0
5,15,2.562061,0,0
6,9,2.6888626,0,0
7,18,2.2473671,0,0
8,9,4.550967,0,0
9,22,1.9770141,0,0
10,16,2.5734003,0,0
11,8,2.7822015,0,0
12,14,2.6143243,0,0
13,11,3.5340414,0,0
14,16,2.3541672,0,0
15,13,2.7464597,0,0
16,8,2.7341626,0,0
1,13,2.4360073,0,1
2,4,1.8538411,0,1
3,15,2.9037979,0,1
4,19,2.4730859,0,1
5,13,2.973292,0,1
1,18,3.5004673,0,2
2,32,1.3891958,0,2
3,27,1.0490023,0,2
4,19,1.7462484,0,2
5,14,2.2083297,0,2
6,6,2.9814398,0,2
7,23,1.4735413,0,2
8,28,1.121525,0,2
9,25,2.213324,0,2
10,26,2.383088,0,2
11,23,2.336473,0,2
1,47,0.81775504,0,3
2,46,1.3882191,0,3
3,29,1.7013488,0,3
4,28,0.9443792,0,3
5,20,1.9853847,0,3
1,31,3.7242143,0,4
2,6,4.687968,0,4
3,19,2.3521273,0,4
4,15,2.193892,0,4
5,11,2.3003807,0,4
6,12,3.029639,0,4
7,20,1.7488614,0,4
8,24,2.2869685,0,4
9,34,2.2055364,0,4
10,27,2.5299537,0,4
1,23,3.6557486,0,5
2,22,2.9599745,0,5
3,16,3.3572114,0,5
4,12,4.640385,0,5
5,11,5.274709,0,5
6,16,3.2884026,0,5
7,10,2.315321,0,5
8,10,3.110001,0,5
9,12,4.647012,0,5
10,12,4.047847,0,5
11,12,4.258824,0,5
12,14,4.4902744,0,5
13,12,3.0115707,0,5
14,10,2.299361,0,5
15,20,3.26914,0,5
16,7,4.88969,0,5
17,7,4.681887,0,5
1,1,2.8996782,0,6
2,20,1.8593376,0,6
3,12,2.5840755,0,6
4,13,1.627566,0,6
5,1,5.173346,0,6
6,12,2.104781,0,6
7,1,4.548555,0,6
8,30,1.3692716,0,6
9,45,1.0248942,0,6
10,39,1.541665,0,6
11,30,1.3463955,0,6
12,14,2.3305492,0,6
1,21,3.0253713,0,7
2,20,2.2366698,0,7
3,13,3.2711668,0,7
4,24,2.2921748,0,7
5,20,1.7046798,0,7
6,14,2.069396,0,7
7,22,1.9881583,0,7
8,19,3.080174,0,7
1,21,1.6043968,0,8
2,8,2.646523,0,8
3,18,2.0619376,0,8
4,16,3.1151936,0,8
5,17,2.6111863,0,8
6,19,2.9277382,0,8
7,15,4.2678394,0,8
8,17,3.5854015,0,8
9,16,3.3088562,0,8
1,17,2.7259123,0,9
2,16,2.117071,0,9
3,8,2.0799646,0,9
4,17,1.4722536,0,9
5,8,1.9925152,0,9
6,11,2.4017754,0,9
7,23,1.1176938,0,9
8,12,0.98647076,0,9
9,21,1.7067962,0,9
10,18,1.951016,0,9
11,14,1.594169,0,9
12,14,2.302098,0,9
13,17,1.469018,0,9
14,19,1.4733399,0,9
15,11,2.8719542,0,9
16,10,2.0121837,0,9
17,18,1.2473583,0,9
18,7,2.1096594,0,9
1,28,3.0810218,0,10
2,102,0.1288235,0,10
1,69,0.6796433,0,11
2,17,1.670429,0,11
3,26,1.3285241,0,11
1,25,1.6886685,0,12
2,24,1.4425156,0,12
3,16,2.2948039,0,12
4,18,1.527917,0,12
5,23,1.0329095,0,12
6,17,2.1567168,0,12
7,18,2.1569088,0,12
8,14,3.1359637,0,12
9,19,2.7734447,0,12
10,25,1.5144387,0,12
11,19,2.4825583,0,12
12,22,1.4694092,0,12
13,1,nan,0,12
1,1,2.8996782,0,13
2,69,0.3792383,0,13
1,24,2.4535844,0,14
2,26,2.419235,0,14
3,20,1.9501219,0,14
4,9,3.3273666,0,14
5,23,1.9695117,0,14
6,28,1.6253152,0,14
7,40,0.5357831,0,14
1,49,2.0300071,0,15
2,16,3.1552393,0,15
3,30,2.5592644,0,15
4,15,3.4383442,0,15
1,19,3.030045,0,16
2,14,3.0530818,0,16
3,15,2.3395035,0,16
4,24,1.7461586,0,16
5,15,3.4873264,0,16
6,13,3.6497996,0,16
1,11,3.0252488,0,18
2,19,1.969869,0,18
3,14,1.9396404,0,18
4,21,2.1411803,0,18
5,10,4.0259967,0,18
6,19,2.615099,0,18
7,17,3.068413,0,18
1,18,2.828544,0,19
2,14,3.0041735,0,19
3,18,2.2839568,0,19
4,28,1.5653503,0,19
5,10,3.6047106,0,19
6,12,2.3940253,0,19
7,8,2.8569684,0,19
8,19,1.4191693,0,19
9,16,2.107312,0,19
10,8,2.9655566,0,19
11,10,2.0207002,0,19
12,7,2.4426203,0,19
13,12,1.8748534,0,19
1,36,1.6428546,0,20
1,19,2.4151084,0,21
2,65,1.2049389,0,21
3,20,2.9768264,0,21
4,18,2.7119186,0,21
5,24,1.8545718,0,21
6,10,1.9705441,0,21
7,9,2.3686368,0,21
8,12,2.3744314,0,21
1,17,1.5923215,0,22
2,13,3.119083,0,22
3,6,2.55797,0,22
4,5,2.9311616,0,22
5,6,1.9253175,0,22
6,15,3.4496057,0,22
1,16,2.1478548,0,23
2,3,3.5473175,0,23
3,16,3.3626568,0,23
4,12,3.8834968,0,23
5,19,2.7029424,0,23
6,14,3.9933586,0,23
7,26,2.6752274,0,23
1,16,3.15414,0,24
2,9,3.113818,0,24
3,14,3.62404,0,24
4,10,3.9151733,0,24
5,10,4.1755834,0,24
1,1,2.8996782,0,25
2,18,3.2926323,0,25
3,21,2.1320803,0,25
4,17,2.4189997,0,25
5,1,3.03775,0,25
6,17,2.686395,0,25
7,24,2.232241,0,25
8,22,2.6645782,0,25
1,22,2.0100632,0,26
2,10,2.912067,0,26
3,21,2.4961894,0,26
4,23,1.1829085,0,26
5,20,2.9205348,0,26
6,18,2.6267848,0,26
7,15,1.8783445,0,26
1,21,2.1332755,0,27
1,43,1.273311,0,28
2,44,1.7195153,0,28
3,26,2.1012554,0,28
4,42,1.5079201,0,28
1,23,2.1145482,0,29
2,14,2.0074296,0,29
3,13,3.4834254,0,29
4,17,2.7602606,0,29
5,24,2.4791563,0,29
6,25,2.0742013,0,29
7,19,2.8768275,0,29
8,17,2.0461967,0,29
9,25,3.1773975,0,29
1,17,3.1928017,0,30
2,10,3.794957,0,30
3,13,3.23202,0,30
4,17,2.7401354,0,30
5,10,3.70034,0,30
6,14,2.4841588,0,30
7,11,2.8466833,0,30
1,15,3.864143,0,31
2,1,3.843133,0,31
3,18,2.56363,0,31
4,14,3.4938283,0,31
5,25,1.8645146,0,31
6,46,1.594438,0,31
1,22,3.1802752,0,32
2,11,2.96896,0,32
3,20,3.7647576,0,32
4,10,3.9644437,0,32
1,14,5.261389,0,33
2,15,1.2374401,0,33
3,1,3.2730312,0,33
4,23,2.3646076,0,33
5,1,2.1609468,0,33
6,9,4.543992,0,33
7,13,3.53855,0,33
8,18,3.2212868,0,33
1,16,2.0421453,0,34
2,26,0.85932887,0,34
3,8,1.9434867,0,34
4,11,2.4923463,0,34
1,17,3.0236318,0,35
2,12,2.1522765,0,35
3,17,2.025739,0,35
4,19,2.3183885,0,35
5,19,2.4092371,0,35
6,20,2.9587402,0,35
7,19,3.002689,0,35
8,17,3.3596964,0,35
9,17,2.4208477,0,35
10,10,2.4665961,0,35
11,12,2.5415342,0,35
12,12,2.338464,0,35
13,11,2.631771,0,35
14,19,2.2534554,0,35
1,17,3.049492,0,36
2,15,2.9399252,0,36
3,15,3.0001917,0,36
4,17,2.585093,0,36
5,14,3.2681663,0,36
6,11,4.2194414,0,36
7,16,2.616452,0,36
1,24,3.016796,0,37
2,31,2.4008327,0,37
3,62,1.6796974,0,37
4,48,2.3134198,0,37
1,16,4.225915,0,38
2,14,3.2612724,0,38
1,1,2.8996782,0,39
2,15,2.1881928,0,39
3,1,2.742128,0,39
4,1,4.973137,0,39
5,1,2.705169,0,39
1,15,3.7532818,0,40
2,14,2.9385922,0,40
3,18,2.8017087,0,40
4,24,2.6553366,0,40
5,27,2.5350833,0,40
6,6,1.8049413,0,40
1,18,3.3378947,0,41
2,8,4.0045977,0,41
3,25,1.0112808,0,41
4,17,2.6813648,0,41
5,20,1.3543779,0,41
6,12,2.8694906,0,41
7,23,2.7146642,0,41
8,19,2.8416088,0,41
9,13,1.9442189,0,41
10,32,0.58060104,0,41
1,11,2.2596922,0,42
2,5,3.918985,0,42
3,8,1.864322,0,42
1,19,1.2294658,0,43
2,22,1.4299694,0,43
3,21,1.9121854,0,43
