num,length,response,context_length,name
1,19,1.59167,0,26709147
2,31,1.3896945,0,26709147
3,28,1.2872311,0,26709147
4,24,2.1166532,0,26709147
5,22,2.1911418,0,26709147
6,20,2.1418495,0,26709147
7,18,2.0604477,0,26709147
8,20,1.4210986,0,26709147
9,12,2.5807579,0,26709147
10,14,2.2405512,0,26709147
11,5,4.3097167,0,26709147
1,13,1.5467379,0,4508056
2,21,1.6067551,0,4508056
3,8,2.61135,0,4508056
4,21,1.5265416,0,4508056
5,13,2.3868346,0,4508056
6,13,1.8364121,0,4508056
7,14,2.2552087,0,4508056
8,13,2.1885734,0,4508056
9,19,1.8432899,0,4508056
10,23,1.3717332,0,4508056
1,15,2.0370147,0,50875
2,4,4.074774,0,50875
3,14,0.8815862,0,50875
4,22,1.2423987,0,50875
5,11,1.350071,0,50875
6,16,1.7430539,0,50875
7,19,1.7114329,0,50875
8,10,2.2883837,0,50875
9,8,2.3185139,0,50875
10,13,1.7500116,0,50875
11,9,2.227933,0,50875
12,13,1.5065565,0,50875
13,11,2.1469684,0,50875
14,11,2.0803502,0,50875
15,24,1.1111249,0,50875
16,7,2.147143,0,50875
17,11,2.60608,0,50875
18,6,3.4385808,0,50875
19,17,1.723982,0,50875
20,9,2.5219626,0,50875
21,14,2.4604566,0,50875
22,6,2.4482338,0,50875
23,1,,0,50875
1,20,1.6603305,0,36670656
2,31,0.7648373,0,36670656
3,15,1.3456553,0,36670656
4,19,1.2785052,0,36670656
5,15,1.1942022,0,36670656
6,22,1.40707,0,36670656
7,13,1.9870093,0,36670656
8,11,1.8368051,0,36670656
9,19,1.822817,0,36670656
10,17,1.9612509,0,36670656
11,12,1.6688255,0,36670656
12,17,2.1096506,0,36670656
13,14,1.7719395,0,36670656
14,5,3.0621204,0,36670656
1,15,2.2610326,0,11907622
2,20,1.4063772,0,11907622
3,13,1.8087006,0,11907622
4,17,2.060832,0,11907622
5,11,3.2811806,0,11907622
1,7,2.2836077,0,4352382
2,35,1.3529829,0,4352382
